#,Array S/N,Model,Type,Shelves,HDD Raw (TB),SSD Raw (TB),Host Interface,CPU Model,CPU Cores,Total Memory,Memory Type,Memory Speed,Hard Drive Size,HW EOS Date
1,0862,HF40,Hybrid Flash,0,126,11.522,Dual 10GbE SFP+,Intel Xeon Silver,12,128 GB,DDR4 ECC,2666 MT/s,10 TB HDD / 3TB SSD Cache,7/31/2028
2,4469,AF60,All Flash,1,-,253.54,4× Dual 10GbE SFP+,Intel Xeon Silver,16,256 GB,DDR4 ECC,2933 MT/s,3.84 TB SSD,7/31/2028
3,7343,AF60,All Flash,1,-,184.44,4× Dual 10GbE SFP+,Intel Xeon Silver,16,256 GB,DDR4 ECC,2933 MT/s,3.84 TB SSD,7/31/2028
4,8949,AF60,All Flash,0,-,184.4,4× Dual 10GbE SFP+; 1× Dual 10GBaseT,Intel Xeon Silver,16,256 GB,DDR4 ECC,2933 MT/s,3.84 TB SSD,7/31/2028
5,4349,HF60,Hybrid Flash,1,294,34.63,3× Dual 10GbE SFP+,Intel Xeon Silver,16,192 GB,DDR4 ECC,2666 MT/s,12 TB HDD / 3TB SSD Cache,7/31/2028
6,1130,AF80,All Flash,0,-,184.44,4× Dual 10GbE SFP+,Intel Xeon Gold,20,384 GB,DDR4 ECC,2933 MT/s,3.84 TB SSD,7/31/2028
7,1813,AF40,All Flash,0,-,46.12,2× Dual 10GbE SFP+,Intel Xeon Silver,12,192 GB,DDR4 ECC,2933 MT/s,1.92 TB SSD,7/31/2028
8,1843,HF60,Hybrid Flash,1,168,32.62,2× Dual 10GbE SFP+,Intel Xeon Silver,16,192 GB,DDR4 ECC,2666 MT/s,12 TB HDD / 3TB SSD Cache,7/31/2028
9,8863,HF60,Hybrid Flash,0,126,17.33,3× Dual 10GbE SFP+,Intel Xeon Silver,16,192 GB,DDR4 ECC,2666 MT/s,10 TB HDD / 3TB SSD Cache,7/31/2028
